,datetime,station,operation,num_bikes,is_weekend
362,2020-01-16 02:00:00,113,both,0.0,weekday
363,2020-01-16 03:00:00,113,both,1.0,weekday
364,2020-01-16 04:00:00,113,both,2.0,weekday
365,2020-01-16 05:00:00,113,both,3.0,weekday
366,2020-01-16 06:00:00,113,both,5.0,weekday
367,2020-01-16 07:00:00,113,both,14.0,weekday
368,2020-01-16 08:00:00,113,both,13.0,weekday
369,2020-01-16 09:00:00,113,both,5.0,weekday
370,2020-01-16 10:00:00,113,both,2.0,weekday
371,2020-01-16 11:00:00,113,both,5.0,weekday
372,2020-01-16 12:00:00,113,both,8.0,weekday
373,2020-01-16 13:00:00,113,both,10.0,weekday
374,2020-01-16 14:00:00,113,both,9.0,weekday
375,2020-01-16 15:00:00,113,both,13.0,weekday
376,2020-01-16 16:00:00,113,both,14.0,weekday
377,2020-01-16 17:00:00,113,both,10.0,weekday
378,2020-01-16 18:00:00,113,both,19.0,weekday
379,2020-01-16 19:00:00,113,both,11.0,weekday
380,2020-01-16 20:00:00,113,both,17.0,weekday
381,2020-01-16 21:00:00,113,both,13.0,weekday
382,2020-01-16 22:00:00,113,both,10.0,weekday
383,2020-01-16 23:00:00,113,both,9.0,weekday
384,2020-01-17 00:00:00,113,both,4.0,weekday
385,2020-01-17 01:00:00,113,both,2.0,weekday
386,2020-01-17 02:00:00,113,both,2.0,weekday
387,2020-01-17 03:00:00,113,both,1.0,weekday
388,2020-01-17 04:00:00,113,both,10.0,weekday
389,2020-01-17 05:00:00,113,both,1.0,weekday
390,2020-01-17 06:00:00,113,both,5.0,weekday
391,2020-01-17 07:00:00,113,both,10.0,weekday
392,2020-01-17 08:00:00,113,both,9.0,weekday
393,2020-01-17 09:00:00,113,both,8.0,weekday
394,2020-01-17 10:00:00,113,both,7.0,weekday
395,2020-01-17 11:00:00,113,both,5.0,weekday
396,2020-01-17 12:00:00,113,both,8.0,weekday
397,2020-01-17 13:00:00,113,both,9.0,weekday
398,2020-01-17 14:00:00,113,both,12.0,weekday
399,2020-01-17 15:00:00,113,both,13.0,weekday
400,2020-01-17 16:00:00,113,both,10.0,weekday
401,2020-01-17 17:00:00,113,both,23.0,weekday
402,2020-01-17 18:00:00,113,both,8.0,weekday
403,2020-01-17 19:00:00,113,both,15.0,weekday
404,2020-01-17 20:00:00,113,both,9.0,weekday
405,2020-01-17 21:00:00,113,both,5.0,weekday
406,2020-01-17 22:00:00,113,both,20.0,weekday
407,2020-01-17 23:00:00,113,both,5.0,weekday
408,2020-01-18 00:00:00,113,both,2.0,weekday
409,2020-01-18 01:00:00,113,both,6.0,weekday
410,2020-01-18 02:00:00,113,both,3.0,weekday
411,2020-01-18 03:00:00,113,both,2.0,weekday
412,2020-01-18 04:00:00,113,both,1.0,weekday
413,2020-01-18 05:00:00,113,both,0.0,weekday
414,2020-01-18 06:00:00,113,both,1.0,weekday
415,2020-01-18 07:00:00,113,both,3.0,weekday
416,2020-01-18 08:00:00,113,both,7.0,weekday
417,2020-01-18 09:00:00,113,both,2.0,weekday
418,2020-01-18 10:00:00,113,both,7.0,weekday
419,2020-01-18 11:00:00,113,both,6.0,weekday
420,2020-01-18 12:00:00,113,both,8.0,weekday
421,2020-01-18 13:00:00,113,both,8.0,weekday
422,2020-01-18 14:00:00,113,both,9.0,weekday
423,2020-01-18 15:00:00,113,both,9.0,weekday
424,2020-01-18 16:00:00,113,both,5.0,weekday
425,2020-01-18 17:00:00,113,both,13.0,weekday
426,2020-01-18 18:00:00,113,both,9.0,weekday
427,2020-01-18 19:00:00,113,both,8.0,weekday
428,2020-01-18 20:00:00,113,both,26.0,weekday
