station_id,num_bikes_available,num_bikes_available_types.mechanical,num_bikes_available_types.ebike,num_docks_available,is_installed,is_renting,is_returning,last_reported,is_charging_station,status,last_updated
101,4,4,0,20,1,1,1,1577865783,TRUE,IN_SERVICE,1577865918
113,25,25,0,0,1,1,1,1577865821,TRUE,IN_SERVICE,1577865918
329,0,0,0,27,1,1,1,1577865750,TRUE,IN_SERVICE,1577865918
101,4,4,0,20,1,1,1,1577866044,TRUE,IN_SERVICE,1577866207
113,25,25,0,0,1,1,1,1577866084,TRUE,IN_SERVICE,1577866207
329,0,0,0,27,1,1,1,1577866012,TRUE,IN_SERVICE,1577866207
101,4,4,0,20,1,1,1,1577866306,TRUE,IN_SERVICE,1577866499
113,25,25,0,0,1,1,1,1577866348,TRUE,IN_SERVICE,1577866499
329,0,0,0,27,1,1,1,1577866277,TRUE,IN_SERVICE,1577866499
101,4,4,0,20,1,1,1,1577866565,TRUE,IN_SERVICE,1577866806
113,25,25,0,0,1,1,1,1577866611,TRUE,IN_SERVICE,1577866806
329,0,0,0,27,1,1,1,1577866802,TRUE,IN_SERVICE,1577866806
101,4,4,0,20,1,1,1,1577867091,TRUE,IN_SERVICE,1577867113
113,23,23,0,2,1,1,1,1577866873,TRUE,IN_SERVICE,1577867113
