,datetime,113,101,329
309,2020-01-13T21:00:00,0.0,2.0,0.0
310,2020-01-13T22:00:00,0.0,1.0,0.0
311,2020-01-13T23:00:00,2.0,2.0,0.0
312,2020-01-14T00:00:00,0.0,0.0,0.0
313,2020-01-14T01:00:00,0.0,0.0,0.0
314,2020-01-14T02:00:00,0.0,0.0,0.0
315,2020-01-14T03:00:00,1.0,0.0,0.0
316,2020-01-14T04:00:00,2.0,0.0,0.0
317,2020-01-14T05:00:00,3.0,2.0,0.0
318,2020-01-14T06:00:00,6.0,3.0,2.0
319,2020-01-14T07:00:00,17.0,6.0,4.0
320,2020-01-14T08:00:00,3.0,3.0,1.0
321,2020-01-14T09:00:00,3.0,9.0,4.0
322,2020-01-14T10:00:00,5.0,4.0,0.0
323,2020-01-14T11:00:00,6.0,4.0,4.0
324,2020-01-14T12:00:00,9.0,7.0,1.0
325,2020-01-14T13:00:00,1.0,8.0,2.0
326,2020-01-14T14:00:00,4.0,3.0,1.0
327,2020-01-14T15:00:00,2.0,4.0,2.0
328,2020-01-14T16:00:00,6.0,2.0,3.0
329,2020-01-14T17:00:00,22.0,10.0,2.0
330,2020-01-14T18:00:00,1.0,2.0,1.0
331,2020-01-14T19:00:00,9.0,1.0,0.0
332,2020-01-14T20:00:00,3.0,2.0,0.0
333,2020-01-14T21:00:00,2.0,5.0,0.0
334,2020-01-14T22:00:00,1.0,4.0,0.0
335,2020-01-14T23:00:00,1.0,1.0,1.0
336,2020-01-15T00:00:00,0.0,2.0,0.0
337,2020-01-15T01:00:00,1.0,0.0,0.0
338,2020-01-15T02:00:00,16.0,0.0,0.0
339,2020-01-15T03:00:00,0.0,0.0,0.0
340,2020-01-15T04:00:00,0.0,0.0,0.0
341,2020-01-15T05:00:00,3.0,0.0,0.0
342,2020-01-15T06:00:00,4.0,2.0,0.0
343,2020-01-15T07:00:00,4.0,3.0,1.0
344,2020-01-15T08:00:00,3.0,9.0,2.0
345,2020-01-15T09:00:00,4.0,4.0,2.0
346,2020-01-15T10:00:00,2.0,2.0,1.0
347,2020-01-15T11:00:00,5.0,6.0,0.0
348,2020-01-15T12:00:00,2.0,4.0,2.0
349,2020-01-15T13:00:00,7.0,7.0,2.0
350,2020-01-15T14:00:00,1.0,3.0,0.0
